From: @jairbolsonaro,Data publicação,Link
"Fui surpreendido com a notícia que minha esposa retiraria imagens católicas da futura residência oficial devido sua religião. Ela evangélica e eu católico, ambos temos objetos que lembram nossa fé em nossa casa! Não por acaso, criam narrativas para nos desgastar a todo custo!",18/12/2018,https://twitter.com/jairbolsonaro/status/1074975132299526144?s=20
"Hoje pela manhã recebi representantes de igrejas evangélicas dos EUA e conversamos sobre suas e nossas visões. Mesmo sendo católico, creio que toda religião traz consigo algo que possa agregar a qualquer um de nós! O que importa é que sempre tenhamos fé! Um bom dia a todos!",20/12/2018,https://twitter.com/jairbolsonaro/status/1075699705638731776?s=20
"É chegado mais um Natal, momento especial onde relembramos com nossas sagradas famílias o nascimento de Cristo.

É com este sentimento, inspirado na família simples que recebeu em um humilde presépio a encarnação do próprio Deus, que  contemplamos a chegada de um novo Brasil.",24/12/2018,https://twitter.com/jairbolsonaro/status/1077128755980783616?s=20
"Com humildade, aceitando quem tem no coração a vontade de construir um Brasil melhor, buscaremos nos próximos anos restaurar o sentimento familiar há muito desgastado em nossa sociedade, bem como a paz dentro de nossos lares. Tenhamos todos um Feliz Natal! Fiquem com Deus!",24/12/2018,https://twitter.com/jairbolsonaro/status/1077129343560761344?s=20
Agradeço a menção dos amigos venezuelanos! Estes expõem o massacre diário que seu povo sofre pelo aliado dos esquerdistas brasileiros que afundou seu país no caos! Que Deus nos proteja e nos livre do comunismo!,20/12/2018,https://twitter.com/jairbolsonaro/status/1031726475882450944?s=20
"Vamos pegar pesado contra a violência para termos um Brasil mais seguro e livre para todas as pessoas, independente de cor, sexualidade e religião. Queremos devolver à população o prazer de andar na rua sem medo, de viver sem medo. Nosso inimigo é o crime, não o cidadão!",09/10/2018,https://twitter.com/jairbolsonaro/status/1049692679829893120?s=20
"Livre de acordões com corruptos para atender aos interesses da nação e  não de partidos políticos; Contra o aborto; A favor da redução da  maioridade penal; Por fim, um presidente que seja honesto, patriota e tenha Deus no coração. VAMOS JUNTOS MUDAR O BRASIL! 👉👉",16/8/2018,https://twitter.com/jairbolsonaro/status/1030195606222974978?s=20&t=1mKkSg8VzXcqxlaC29DkoQ 
"Depois de décadas, o Brasil finalmente tem a chance de eleger um presidente que carrega verdadeiramente os valores dos Brasileiros. Vamos juntos mudar os rumos da nossa nação! Vamos votar Jair Bolsonaro presidente 17! Um forte abraço a todos e até a vitória, se Deus quiser!",27/10/2018,https://twitter.com/jairbolsonaro/status/1056348052624158721?s=20&t=1mKkSg8VzXcqxlaC29DkoQ
"Quando o governo é justo, o país tem segurança; mas, quando cobra impostos demais, a nação acaba na desgraça.",02/04/2016,https://twitter.com/jairbolsonaro/status/716373988335828992?s=20&t=4QRZwJytHCi2zw9peYIESw
"COM MENTIRAS O PT GANHOU ELEIÇÕES, MAS SOMENTE COM VERDADES SEREMOS UMA GRANDE NAÇÃO!",01/09/2016,https://twitter.com/jairbolsonaro/status/771502790262665216?s=20&t=4QRZwJytHCi2zw9peYIESw
"Dia 28/07: aniversário de um símbolo, q ajudou a impedir que nosso país se transformasse numa nação socialista a exemplo de Cuba! #ustravive",28/07/2017,https://twitter.com/jairbolsonaro/status/891041698498977795?s=20&t=4QRZwJytHCi2zw9peYIESw
"""Para ser uma grande nação o Brasil precisa de um presidente honesto, cristão e PATRIOTA. Meu voto é não."" Com 
@BolsonaroSP",02/08/2017,https://twitter.com/jairbolsonaro/status/892892896969490432?s=20&t=4QRZwJytHCi2zw9peYIESw
